Measure,Average Measure Value
1,87.5
2,85.5
3,81.5
4,77.0
5,75.5
6,73.5
7,69.5
8,65.0
9,68.5
10,67.0
11,70.0
12,74.0
13,73.5
14,74.0
15,70.0
16,67.0
17,65.0
18,68.5
19,72.0
20,75.5
21,79.0
22,79.5
23,81.5
24,77.0
25,80.5
26,84.0
27,87.5
28,86.0
29,84.5
30,80.5
31,79.0
32,82.0
33,86.0
34,84.0
35,82.0
36,78.0
37,75.5
38,76.5
39,78.0
40,79.0
41,79.5
42,78.0
43,75.5
44,76.5
45,78.0
46,79.0
47,79.5
48,80.0
49,80.0
50,80.0
51,80.0
52,80.0
53,80.0
54,80.0
55,80.0
56,80.0
57,81.0
58,81.0
59,81.0
60,81.0
61,81.0
62,81.0
63,80.0
64,80.0
65,80.0
66,80.0
67,80.0
68,80.0
69,78.0
70,78.0
71,78.0
72,78.0
73,78.0
74,78.0
75,76.0
76,76.0
77,76.0
78,76.0
79,76.0
80,76.0
81,75.0
82,75.0
83,75.0
84,65.0
85,65.0
86,69.5
87,65.0
88,69.5
89,65.0
90,68.5
91,68.5
92,73.5
93,68.5
94,73.5
95,68.5
96,72.0
97,72.0
98,77.0
99,72.0
100,77.0
101,72.0
102,78.5
103,78.0
104,72.5
105,66.0
106,61.5
107,60.5
108,62.0
109,62.0
110,66.5
111,62.0
112,66.5
113,62.0
114,65.5
115,65.5
116,70.5
117,65.5
118,70.5
119,65.5
120,68.5
121,68.5
122,74.0
123,68.5
124,74.0
125,68.5
126,75.5
127,75.0
128,81.5
129,79.5
130,78.5
131,72.0
132,71.0
133,67.5
134,76.5
135,74.5
136,73.5
137,67.0
138,66.0
139,62.5
140,66.0
141,70.5
142,74.5
143,76.5
144,73.5
145,70.0
146,79.5
147,79.5
148,77.5
149,74.5
150,73.5
151,70.0
152,77.5
153,77.5
154,76.5
155,74.5
156,73.5
157,70.0
158,68.5
159,68.5
160,66.0
161,62.5
162,60.5
163,62.0
164,61.5
165,65.5
166,73.5
167,73.5
168,64.5
169,74.5
170,74.5
171,65.5
172,73.5
173,73.5
174,64.5
175,74.5
176,74.5
177,64.5
178,74.5
179,74.5
180,64.5
181,74.5
182,74.5
183,64.5
184,74.0
185,74.0
186,64.0
187,73.5
188,73.5
189,67.0
190,70.0
191,70.5
192,67.0
193,66.0
194,63.5
195,67.0
196,67.0
197,66.0
198,63.5
199,62.5
200,60.0
201,65.5
202,74.5
203,74.5
204,67.0
205,74.5
206,74.5
207,71.0
208,81.0
209,80.5
210,77.0
211,76.5
212,74.0
213,77.0
214,77.0
215,76.5
216,74.0
217,73.0
218,70.0
219,72.0
220,81.5
221,78.0
222,72.0
223,67.0
224,66.0
225,74.5
226,80.5
227,77.5
228,72.0
229,75.0
230,79.0
231,77.0
232,75.0
233,72.0
234,73.5
235,72.0
236,75.0
237,79.0
238,77.0
239,75.0
240,71.0
241,68.5
242,69.5
243,71.0
244,72.0
245,72.5
246,71.0
247,68.5
248,69.5
249,71.0
250,72.0
251,72.5
252,73.0
253,73.0
254,73.0
255,73.0
256,73.0
257,73.0
258,73.0
259,73.0
260,73.0
261,74.0
262,74.0
263,74.0
264,74.0
265,74.0
266,74.0
267,73.0
268,73.0
269,73.0
270,73.0
271,73.0
272,73.0
273,71.0
274,71.0
275,71.0
276,71.0
277,71.0
278,71.0
279,69.0
280,69.0
281,69.0
282,69.0
283,69.0
284,69.0
285,68.0
286,68.0
287,68.0
288,58.0
289,58.0
290,62.5
291,58.0
292,62.5
293,58.0
294,61.5
295,61.5
296,66.5
297,61.5
298,66.5
299,61.5
300,65.0
301,65.0
302,70.0
303,65.0
304,70.0
305,65.0
306,71.5
307,73.5
308,74.5
309,70.5
310,71.5
311,65.0
312,61.5
313,60.0
314,64.0
315,60.0
316,64.0
317,60.0
318,63.0
319,63.0
320,68.5
321,63.0
322,68.5
323,63.0
324,67.0
325,67.0
326,72.0
327,67.0
328,72.0
329,67.0
330,73.5
331,75.5
332,76.5
333,72.5
334,73.5
335,67.0
336,74.0
337,80.5
338,81.5
339,77.5
340,78.5
341,72.0
342,77.0
343,82.0
344,83.0
345,79.0
346,79.5
347,73.5
348,78.5
349,84.0
350,84.5
351,80.5
352,81.5
353,78.5
354,74.0
355,74.0
356,78.5
357,74.0
358,78.5
359,74.0
360,77.5
361,77.5
362,81.5
363,77.5
364,81.5
365,77.5
366,80.5
367,80.5
368,84.5
369,80.5
370,84.5
371,80.5
372,84.5
373,81.5
374,80.0
375,78.5
376,78.0
377,80.5
378,79.0
379,79.5
380,76.0
381,79.0
382,76.5
383,77.5
384,75.0
385,76.0
386,73.0
387,75.0
388,73.0
389,73.5
390,72.0
391,72.5
392,69.5
393,72.0
394,69.5
395,70.0
396,68.5
397,70.0
398,68.5
399,67.0
400,65.5
401,68.5
402,72.5
403,72.0
404,67.5
405,63.5
406,61.5
407,67.5
408,66.5
409,63.0
410,66.5
411,70.5
412,75.0
413,75.5
414,71.0
415,67.5
416,71.0
417,75.5
418,79.5
419,81.5
420,78.5
421,75.0
422,84.5
423,84.5
424,82.5
425,79.5
426,78.5
427,75.0
428,82.5
429,82.5
430,81.5
431,79.5
432,78.5
433,75.0
434,73.5
435,73.5
436,71.0
437,67.5
438,66.5
439,78.0
440,81.5
441,79.5
442,78.5
443,72.0
444,71.0
445,81.5
446,83.0
447,81.5
448,79.5
449,73.5
450,72.5
451,66.5
452,66.5
453,60.0
454,59.0
455,67.0
456,70.0
457,73.5
458,63.5
459,66.5
460,67.0
461,68.5
462,65.0
463,63.5
464,67.0
465,67.5
466,68.5
467,67.0
468,69.5
469,72.0
470,70.5
471,74.0
472,74.5
473,75.5
474,74.0
475,72.0
476,75.5
477,79.0
478,79.5
479,76.0
480,67.0
481,63.0
482,62.5
483,67.0
484,70.0
485,73.5
486,77.0
487,78.0
488,74.5
489,65.0
490,62.0
491,61.0
492,65.0
493,68.5
494,72.0
495,75.5
496,76.5
497,71.0
498,60.0
499,56.5
500,60.5
501,72.0
502,74.5
503,80.5
504,79.5
505,74.5
506,62.5
507,74.0
508,76.5
509,80.5
510,79.5
511,76.5
512,63.5
513,70.0
514,73.5
515,79.0
516,78.0
517,73.5
518,64.5
519,72.0
520,74.5
521,81.0
522,79.0
523,74.5
524,79.0
525,81.0
526,80.5
527,77.0
528,76.5
529,74.0
530,77.0
531,80.5
532,79.5
533,77.0
534,76.5
535,74.0
536,76.0
537,79.0
538,78.0
539,75.5
540,74.5
541,72.0
542,74.5
543,77.0
544,76.5
545,74.0
546,73.0
547,70.0
548,72.0
549,72.0
550,71.0
551,68.5
552,67.5
553,65.0
554,64.5
555,71.0
556,73.0
557,79.0
558,80.5
559,79.5
560,78.0
561,81.5
562,85.5
563,78.0
564,74.5
565,87.5
566,85.5
567,78.0
568,73.5
569,72.5
570,77.0
571,72.0
572,71.0
573,75.5
574,70.0
575,69.5
576,73.5
577,75.5
578,79.0
579,82.0
580,75.5
581,87.5
582,84.0
583,80.5
584,77.0
585,71.0
586,71.0
587,71.0
588,71.0
589,71.0
590,71.0
591,83.0
592,83.0
593,83.0
594,76.0
595,76.0
596,83.0
597,83.0
598,83.0
599,76.0
600,76.0
601,76.0
602,76.0
603,76.0
604,76.0
605,76.0
606,76.0
607,76.0
608,76.0
609,76.0
610,76.0
611,76.0
612,76.0
613,76.0
614,76.0
615,76.0
616,76.0
617,76.0
618,76.0
619,76.0
620,76.0
621,76.0
622,76.0
623,76.0
624,76.0
625,76.0
626,76.0
627,76.0
628,76.0
629,76.0
630,76.0
631,66.0
632,66.0
633,66.0
634,66.0
635,66.0
636,66.0
637,64.0
638,64.0
639,64.0
640,66.0
641,66.0
642,66.0
643,64.0
644,64.0
645,64.0
646,67.0
647,67.0
648,67.0
649,67.0
650,67.0
651,67.0
652,68.0
653,68.0
654,68.0
655,66.0
656,66.0
657,66.0
658,66.0
659,66.0
660,66.0
661,66.0
662,66.0
663,66.0
664,74.0
665,74.0
666,74.0
667,74.0
668,74.0
669,74.0
670,76.0
671,76.0
672,69.0
673,69.0
674,76.0
675,76.0
676,76.0
677,69.0
678,69.0
679,69.0
680,69.0
681,69.0
682,69.0
683,69.0
684,69.0
685,69.0
686,69.0
687,69.0
688,69.0
689,69.0
690,69.0
691,69.0
692,69.0
693,69.0
694,69.0
695,69.0
696,69.0
697,69.0
698,69.0
699,69.0
700,69.0
701,69.0
702,69.0
703,69.0
704,69.0
705,69.0
706,69.0
707,69.0
708,69.0
709,71.0
710,71.0
711,65.0
712,65.0
713,61.0
714,61.0
715,66.0
716,66.0
717,69.0
718,69.0
719,69.0
720,69.0
721,69.0
722,69.0
723,76.0
724,76.0
725,76.0
726,76.0
727,76.0
728,71.0
729,71.0
730,71.0
731,69.0
732,69.0
733,69.0
734,64.0
735,64.0
736,64.0
737,76.0
738,76.0
739,76.0
740,76.0
741,76.0
742,76.0
743,76.0
744,76.0
745,76.0
746,76.0
747,76.0
748,73.0
749,88.0
750,88.0
751,76.0
752,76.0
753,65.0
754,68.5
755,67.0
756,70.0
757,74.0
758,73.5
759,74.0
760,70.0
761,67.0
762,79.0
763,80.5
764,79.0
765,82.0
766,86.0
767,84.0
768,82.0
769,76.0
770,75.5
771,75.0
772,74.0
773,73.5
774,73.0
775,71.0
776,71.0
777,71.0
778,69.0
779,69.0
780,69.0
781,68.0
782,68.0
783,68.0
784,66.0
785,66.0
786,66.0
787,69.0
788,68.5
789,68.0
790,67.0
791,66.5
792,66.0
793,64.0
794,64.0
795,64.0
796,62.0
797,62.0
798,62.0
799,61.0
800,61.0
801,61.0
802,59.0
803,59.0
804,59.0
805,65.0
806,69.0
807,80.5
808,78.0
809,76.0
810,75.5
811,72.0
812,68.5
813,65.0
814,69.5
815,75.5
816,81.5
817,87.5
